//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:02
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906227
//Univ. of Washington ID: 18169
//MBARI ID: 18169SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 32 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11528	
//Temperature[°C]	Sbe41cp	11528	
//Salinity[pss]	Sbe41cp	11528	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3106	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#?  Spec#118374 Equitech Ti probe #1909.02  ARGO float#868  DF#SBE10315  CTD#11528	
//Chl_a[mg/m^3]	FLBBAP2	5528	
//Chl_a_corr[mg/m^3]	FLBBAP2	5528	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5528	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5528	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10315	
//pH25C[Total]	Durafet	10315	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0356	0.0000	0.0000
//Nitrate	1	1.0000	1.5268	-6.7377
//Nitrate	12	1.0000	-0.1620	-1.2179
//Nitrate	31	1.0000	-0.4505	0.0000
//pH	1	1.0000	0.0078	0.3654
//pH	3	1.0000	0.0178	0.0054
//pH	31	1.0000	0.0229	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1599.45	0	0.9961	0	34.7190	0	27.826	0	1577.312	0	197.66	0	58.2	0	31.49	0	0.0037	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.8848	0	7.5979	0	2358	0	2261	0	488.0	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1500.36	0	1.0480	0	34.7212	0	27.824	0	1479.940	0	196.45	0	57.9	0	31.48	0	0.0037	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.8864	0	7.5964	0	2357	0	2260	0	491.6	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1399.63	0	1.0967	0	34.7227	0	27.821	0	1380.910	0	195.36	0	57.6	0	31.35	0	0.0037	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.8901	0	7.5967	0	2356	0	2259	0	492.8	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1299.83	0	1.1585	0	34.7248	0	27.819	0	1282.748	0	194.01	0	57.3	0	31.31	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8924	0	7.5960	0	2357	0	2260	0	496.0	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1200.26	0	1.2317	0	34.7270	0	27.815	0	1184.767	0	192.90	0	57.1	0	31.21	0	0.0000	0	0.0000	0	0.000254	1	-1E+10	1	0.91	1	7.8937	0	7.5945	0	2357	0	2261	0	500.5	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	1100.17	0	1.3057	0	34.7298	0	27.812	0	1086.228	0	191.65	0	56.8	0	31.15	0	0.0000	0	0.0000	0	0.000254	1	-1E+10	1	0.91	1	7.8959	0	7.5938	0	2356	0	2260	0	503.6	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	999.39	0	1.3876	0	34.7318	0	27.807	0	986.962	0	190.40	0	56.6	0	31.05	0	0.0000	0	0.0000	0	0.000266	1	-1E+10	1	0.94	1	7.8989	0	7.5939	0	2355	0	2259	0	505.9	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	951.56	0	1.4242	0	34.7326	0	27.805	0	939.834	0	189.83	0	56.5	0	31.03	0	0.0037	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8924	0	7.5868	0	2355	0	2261	0	517.1	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	901.40	0	1.4610	0	34.7331	0	27.802	0	890.398	0	188.65	0	56.2	0	31.06	0	0.0037	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8918	0	7.5849	0	2354	0	2262	0	520.9	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	851.69	0	1.5120	0	34.7336	0	27.799	0	841.395	0	187.61	0	55.9	0	31.03	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.8917	0	7.5838	0	2353	0	2261	0	523.9	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	801.44	0	1.5523	0	34.7329	0	27.795	0	791.848	0	186.75	0	55.7	0	31.10	0	0.0000	0	0.0000	0	0.000266	1	-1E+10	1	0.95	1	7.8926	0	7.5832	0	2352	0	2260	0	525.8	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	751.28	0	1.5866	0	34.7329	0	27.793	0	742.377	0	185.95	0	55.5	0	31.01	0	0.0073	0	0.0024	0	0.000279	1	-1E+10	1	0.98	1	7.8926	0	7.5819	0	2351	0	2260	0	528.9	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	701.83	0	1.6393	0	34.7316	0	27.787	0	693.595	0	184.66	0	55.2	0	31.05	0	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.8891	0	7.5776	0	2351	0	2261	0	536.6	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	651.33	0	1.6811	0	34.7307	0	27.783	0	643.766	0	183.51	0	55.0	0	31.14	0	0.0037	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8894	0	7.5767	0	2351	0	2261	0	539.5	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	601.78	0	1.7296	0	34.7284	0	27.778	0	594.862	0	182.22	0	54.6	0	31.12	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.8892	0	7.5753	0	2351	0	2262	0	543.1	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	551.66	0	1.7718	0	34.7262	0	27.772	0	545.384	0	180.89	0	54.3	0	31.21	0	0.0073	0	0.0024	0	0.000267	1	-1E+10	1	0.95	1	7.8868	0	7.5719	0	2350	0	2263	0	549.6	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	501.79	0	1.8093	0	34.7219	0	27.766	0	496.141	0	179.38	0	53.9	0	31.39	0	0.0037	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8834	0	7.5676	0	2349	0	2263	0	557.3	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	451.79	0	1.8480	0	34.7158	0	27.758	0	446.757	0	177.83	0	53.5	0	31.50	0	0.0037	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	7.8797	0	7.5629	0	2349	0	2265	0	566.0	0
5906227	1	C	02/01/2020	23:47	273.309	-68.896	0	401.81	0	1.8711	0	34.7094	0	27.751	0	397.382	0	176.11	0	53.0	0	31.64	0	0.0037	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8770	0	7.5589	0	2350	0	2267	0	573.3	0
