//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 07:28
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906246
//Univ. of Washington ID: 18431
//MBARI ID: 18431SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 16 17 18 19 20 21 22 23 24 25 26 27 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11763	
//Temperature[°C]	Sbe41cp	11763	
//Salinity[pss]	Sbe41cp	11763	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3086	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204309  Spec#114284 Equitech Ti probe #1604.33  ARGO float#873  DF#275  CTD#11763	
//Chl_a[mg/m^3]	FLBBAP2	4812	
//Chl_a_corr[mg/m^3]	FLBBAP2	4812	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4812	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4812	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	275	
//pH25C[Total]	Durafet	275	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0373	0.0000	0.0000
//Nitrate	1	1.0000	-1.8192	-11.3093
//Nitrate	4	1.0000	-2.5268	0.0000
//Nitrate	26	1.0000	-2.5427	0.0000
//pH	1	1.0000	-0.0413	0.5686
//pH	4	1.0000	-0.0087	0.0204
//pH	26	1.0000	0.0052	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	1499.59	0	2.9739	0	34.6112	0	27.587	0	1483.352	0	180.02	0	55.6	0	32.24	0	0.0073	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	7.8507	0	7.5911	0	2330	0	2236	0	537.6	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	1399.85	0	3.0279	0	34.5507	0	27.533	0	1385.019	0	178.42	0	55.2	0	32.79	0	0.0109	0	0.0037	0	0.000352	1	-1E+10	1	1.17	1	7.8517	8	7.5891	8	2327	0	2234	8	542.1	8
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	1300.04	0	3.1414	0	34.4851	0	27.470	0	1286.571	0	180.96	0	56.1	0	33.25	0	0.0073	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.8401	8	7.5766	8	2322	0	2234	8	563.8	8
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	1200.16	0	3.1619	0	34.4063	0	27.404	0	1188.008	0	189.47	0	58.7	0	33.26	0	0.0037	0	0.0012	0	0.000353	1	-1E+10	1	1.17	1	7.8469	0	7.5795	0	2315	0	2226	0	559.2	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	1100.02	0	3.2762	0	34.3465	0	27.345	0	1089.141	0	200.14	0	62.2	0	32.78	0	0.0073	0	0.0024	0	0.000389	1	-1E+10	1	1.27	1	7.8571	0	7.5866	0	2307	0	2216	0	550.3	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	999.36	0	3.5629	0	34.2951	0	27.276	0	989.714	0	212.61	0	66.5	0	31.66	0	0.0073	0	0.0024	0	0.000378	1	-1E+10	1	1.24	1	7.8759	0	7.6040	0	2298	0	2201	0	529.9	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	951.46	0	3.6483	0	34.2684	0	27.246	0	942.384	0	219.58	0	68.8	0	31.08	0	0.0037	0	0.0012	0	0.000402	1	-1E+10	1	1.30	1	7.8777	0	7.6051	0	2294	0	2198	0	529.9	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	901.71	0	3.9661	0	34.2697	0	27.216	0	893.215	0	220.59	0	69.6	0	30.51	0	0.0073	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1	7.8774	8	7.6075	8	2292	0	2194	8	533.7	8
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	851.74	0	4.3524	0	34.2844	0	27.187	0	843.816	0	219.77	0	70.0	0	29.75	0	0.0037	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1	7.8831	8	7.6163	8	2291	0	2190	8	529.9	8
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	801.64	0	4.5975	0	34.2817	0	27.158	0	794.277	0	222.12	0	71.2	0	29.11	0	0.0000	0	0.0000	0	0.000380	1	-1E+10	1	1.24	1	7.8846	0	7.6193	0	2289	0	2187	0	531.2	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	751.43	0	4.9745	0	34.2910	0	27.123	0	744.618	0	224.07	0	72.5	0	28.27	0	0.0037	0	0.0012	0	0.000381	1	-1E+10	1	1.24	1	7.8949	0	7.6323	0	2286	0	2180	0	520.9	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	701.70	0	5.3797	0	34.3098	0	27.091	0	695.422	0	223.51	0	73.0	0	27.27	0	0.0037	0	0.0012	0	0.000405	1	-1E+10	1	1.31	1	7.8903	0	7.6320	0	2284	0	2178	0	530.7	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	651.59	0	5.8993	0	34.3504	0	27.059	0	645.838	0	220.75	0	73.0	0	26.37	0	0.0073	0	0.0024	0	0.000406	1	-1E+10	1	1.31	1	7.8929	0	7.6399	0	2285	0	2175	0	531.6	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	601.56	0	6.6601	0	34.4304	0	27.024	0	596.321	0	211.59	0	71.2	0	25.31	0	0.0000	0	0.0000	0	0.000407	1	-1E+10	1	1.31	1	7.8918	0	7.6478	0	2287	0	2175	0	538.4	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	551.26	0	7.3507	0	34.4818	0	26.969	0	546.525	0	212.49	0	72.7	0	23.21	0	0.0037	0	0.0012	0	0.000420	1	-1E+10	1	1.35	1	7.9005	0	7.6639	0	2288	0	2169	0	531.2	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	501.38	0	8.1205	0	34.5539	0	26.913	0	497.133	0	216.10	0	75.3	0	20.94	0	0.0000	0	0.0000	0	0.000457	1	-1E+10	1	1.44	1	7.9169	8	7.6886	8	2290	0	2161	8	514.2	8
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	451.56	0	8.9324	0	34.6532	0	26.866	0	447.789	0	213.49	0	75.8	0	18.94	0	0.0037	0	0.0012	0	0.000470	1	-1E+10	1	1.48	1	7.9251	0	7.7062	0	2293	0	2157	0	508.4	0
5906246	1	C	03/27/2020	15:50	1.129	-35.564	0	401.82	0	9.5319	0	34.7203	0	26.820	0	398.512	0	216.41	0	77.9	0	16.99	0	0.0000	0	0.0000	0	0.000447	1	-1E+10	1	1.42	1	7.9413	0	7.7284	0	2296	0	2150	0	491.9	0
