//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:19
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904181
//Univ. of Washington ID: 7557
//MBARI ID: 7557SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3565	
//Temperature[°C]	Sbe41cp	3565	
//Salinity[pss]	Sbe41cp	3565	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	816	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G1.C01.6391 Spec#060 Ti Equitech probe #2013.0410RR10.01 MBARI ARGO float#7041	
//Chl_a[mg/m^3]	FLBBAP2	3146	
//Chl_a_corr[mg/m^3]	FLBBAP2	3146	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3146	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3146	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1010	0.0000	0.0000
//Nitrate	1	1.0000	-3.0574	111.6848
//Nitrate	3	1.0000	-0.9324	-49.4710
//Nitrate	5	1.0000	-0.5189	-45.6934
//Nitrate	7	1.0000	-2.4450	-2.0469
//Nitrate	15	1.0000	-3.0650	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	1499.28	0	1.5265	0	34.7350	0	27.802	0	1479.428	0	188.55	0	56.2	0	31.91	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	1398.98	0	1.6210	0	34.7363	0	27.796	0	1380.783	0	186.33	0	55.7	0	31.82	0	0.0037	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	1299.15	0	1.7036	0	34.7367	0	27.790	0	1282.555	0	184.42	0	55.3	0	31.92	0	0.0037	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	1199.20	0	1.7745	0	34.7362	0	27.783	0	1184.163	0	183.01	0	54.9	0	31.78	0	0.0000	0	0.0000	0	0.000252	1	-1E+10	1	0.91	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	1098.75	0	1.8537	0	34.7336	0	27.775	0	1085.232	0	181.26	0	54.5	0	31.79	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.93	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	999.31	0	1.9263	0	34.7289	0	27.765	0	987.249	0	179.19	0	54.0	0	31.95	0	0.0037	0	0.0012	0	0.000262	1	-1E+10	1	0.93	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	951.77	0	1.9696	0	34.7253	0	27.759	0	940.390	0	177.71	0	53.6	0	31.94	0	0.0037	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	901.37	0	2.0063	0	34.7206	0	27.752	0	890.699	0	176.41	0	53.3	0	32.32	0	0.0073	0	0.0024	0	0.000291	1	-1E+10	1	1.01	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	850.85	0	2.0406	0	34.7096	0	27.740	0	840.879	0	173.59	0	52.4	0	32.54	0	0.0000	0	0.0000	0	0.000272	1	-1E+10	1	0.96	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	800.96	0	2.0749	0	34.7021	0	27.731	0	791.668	0	172.32	0	52.1	0	32.76	0	0.0037	0	0.0012	0	0.000348	1	-1E+10	1	1.16	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	751.10	0	2.1097	0	34.6956	0	27.723	0	742.475	0	171.30	0	51.8	0	32.89	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	700.93	0	2.1248	0	34.6851	0	27.713	0	692.964	0	169.65	0	51.4	0	33.19	0	0.0037	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	650.92	0	2.1483	0	34.6760	0	27.703	0	643.600	0	168.65	0	51.1	0	33.28	0	0.0073	0	0.0024	0	0.000377	1	-1E+10	1	1.23	1
5904181	1	C	03/28/2014	18:11	184.132	-63.454	0	601.67	0	2.1729	0	34.6620	0	27.690	0	594.974	0	167.20	0	50.7	0	33.59	0	0.0000	0	0.0000	0	0.000339	1	-1E+10	1	1.13	1
