//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906001
//Univ. of Washington ID: 12708
//MBARI ID: 12708SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 19 20 21 22 23 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 17 18 19 20 21 22 23 24 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10450	
//Temperature[°C]	Sbe41cp	10450	
//Salinity[pss]	Sbe41cp	10450	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2861	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0112  Spec#108000 Equitech Ti probe #1703.34  MBARI ARGO float#810  DF#219  CTD#10450	
//Chl_a[mg/m^3]	FLBBAP2	4685	
//Chl_a_corr[mg/m^3]	FLBBAP2	4685	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4685	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4685	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	219	
//pH25C[Total]	Durafet	219	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0510	0.0000	0.0000
//Nitrate	1	1.0000	3.9110	-24.4447
//Nitrate	3	1.0000	2.9769	-0.6089
//Nitrate	24	1.0000	2.6544	0.0000
//pH	1	1.0000	-0.0010	-0.3812
//pH	11	1.0000	-0.0949	0.3775
//pH	21	1.0000	0.0148	-0.0450
//pH	24	1.0000	0.0078	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1897.56	0	0.5317	0	34.6829	0	27.827	0	1870.665	0	212.22	0	61.7	0	32.42	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8838	0	7.6015	0	2356	0	2257	0	470.7	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1799.00	0	0.5920	0	34.6865	0	27.825	0	1773.912	0	209.39	0	61.0	0	32.30	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8849	0	7.5997	0	2357	0	2259	0	475.3	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1698.54	0	0.6388	0	34.6894	0	27.825	0	1675.250	0	208.43	0	60.8	0	32.16	0	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8863	0	7.5979	0	2357	0	2260	0	479.3	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1599.60	0	0.7050	0	34.6945	0	27.824	0	1578.034	0	207.31	0	60.5	0	32.15	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8896	0	7.5981	0	2357	0	2260	0	481.2	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1497.77	0	0.7505	0	34.6966	0	27.823	0	1477.933	0	207.38	0	60.6	0	31.96	0	0.0072	0	0.0024	0	0.000271	1	-1E+10	1	0.96	1	7.8942	0	7.5992	0	2356	0	2259	0	481.4	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1400.09	0	0.8440	0	34.7027	0	27.822	0	1381.866	0	205.87	0	60.3	0	31.79	0	0.0072	0	0.0024	0	0.000271	1	-1E+10	1	0.96	1	7.8980	0	7.6003	0	2356	0	2258	0	482.6	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1300.08	0	0.9224	0	34.7068	0	27.819	0	1283.462	0	205.19	0	60.3	0	31.60	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.9028	0	7.6020	0	2356	0	2257	0	482.6	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1198.99	0	1.0028	0	34.7115	0	27.818	0	1183.948	0	204.37	0	60.1	0	31.46	0	0.0072	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1	7.9069	0	7.6031	0	2355	0	2256	0	483.5	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	1099.92	0	1.1096	0	34.7164	0	27.814	0	1086.377	0	203.47	0	60.0	0	31.11	0	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.9124	0	7.6059	0	2354	0	2254	0	482.5	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	999.49	0	1.1949	0	34.7201	0	27.811	0	987.420	0	202.48	0	59.9	0	30.98	0	0.0072	0	0.0024	0	0.000283	1	-1E+10	1	0.99	1	7.9163	0	7.6069	0	2354	0	2253	0	483.6	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	951.73	0	1.2159	0	34.7193	0	27.809	0	940.344	0	201.98	0	59.8	0	30.97	0	0.0036	0	0.0012	0	0.000294	1	-1E+10	1	1.02	1	7.9139	0	7.6033	0	2353	0	2254	0	489.2	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	901.57	0	1.2951	0	34.7229	0	27.806	0	890.891	0	201.17	0	59.7	0	30.75	0	0.0072	0	0.0024	0	0.000294	1	-1E+10	1	1.02	1	7.9137	0	7.6024	0	2353	0	2254	0	492.5	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	851.31	0	1.3362	0	34.7227	0	27.803	0	841.327	0	200.69	0	59.6	0	30.84	0	0.0072	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1	7.9153	0	7.6025	0	2352	0	2253	0	493.5	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	801.32	0	1.4274	0	34.7292	0	27.801	0	792.018	0	199.67	0	59.4	0	30.59	0	0.0072	0	0.0024	0	0.000295	1	-1E+10	1	1.02	1	7.9180	0	7.6044	0	2352	0	2252	0	493.2	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	751.45	0	1.4850	0	34.7309	0	27.798	0	742.815	0	198.80	0	59.2	0	30.45	0	0.0072	0	0.0024	0	0.000284	1	-1E+10	1	0.99	1	7.9200	0	7.6052	0	2352	0	2252	0	493.7	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	701.47	0	1.5140	0	34.7283	0	27.794	0	693.493	0	197.35	0	58.8	0	30.66	0	0.0036	0	0.0012	0	0.000284	1	-1E+10	1	0.99	1	7.9185	0	7.6024	0	2351	0	2252	0	498.5	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	651.01	0	1.5480	0	34.7276	0	27.791	0	643.684	0	196.12	0	58.5	0	30.61	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.9169	0	7.5996	0	2351	0	2253	0	503.4	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	600.92	0	1.5575	0	34.7218	0	27.785	0	594.230	0	194.14	0	58.0	0	30.91	0	0.0072	0	0.0024	0	0.000306	1	-1E+10	1	1.05	1	7.9142	0	7.5954	0	2350	0	2254	0	509.7	0
5906001	1	C	12/15/2018	21:42	80.189	-63.546	0	551.17	0	1.5839	0	34.7175	0	27.780	0	545.099	0	192.69	0	57.6	0	31.19	0	0.0072	0	0.0024	0	0.000317	1	-1E+10	1	1.08	1	7.9133	0	7.5931	0	2349	0	2254	0	513.8	0
