//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:24
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906221
//Univ. of Washington ID: 18796
//MBARI ID: 18796SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11433	
//Temperature[°C]	Sbe41cp	11433	
//Salinity[pss]	Sbe41cp	11433	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3081	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0111  Spec#114269 Equitech Ti probe #1804.06  MBARI ARGO float#839  DF#249  CTD#11433	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	249	
//pH25C[Total]	Durafet	249	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0381	0.0000	0.0000
//Nitrate	1	1.0000	-2.3242	3.9260
//Nitrate	4	1.0000	-2.6379	-0.6180
//Nitrate	30	1.0000	-2.9897	0.0000
//pH	1	1.0000	-0.0645	-0.7688
//pH	3	1.0000	-0.0966	0.1188
//pH	12	1.0000	-0.0438	0.1365
//pH	29	1.0000	0.0992	0.0000
//pH	30	1.0000	0.0547	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1899.81	0	2.4730	0	34.7035	0	27.707	0	1875.689	0	187.03	0	57.1	0	31.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2341	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1800.09	0	2.5339	0	34.6843	0	27.686	0	1777.651	0	183.65	0	56.2	0	32.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2341	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1700.12	0	2.5674	0	34.6632	0	27.665	0	1679.323	0	180.71	0	55.3	0	32.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2341	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1599.11	0	2.5924	0	34.6236	0	27.631	0	1579.925	0	177.05	0	54.2	0	33.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8378	4	7.5779	4	2339	0	2249	4	549.0	4
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1499.87	0	2.7491	0	34.5968	0	27.595	0	1482.223	0	176.07	0	54.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8388	4	7.5779	4	2336	0	2251	4	554.8	4
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1399.68	0	2.8282	0	34.5487	0	27.549	0	1383.540	0	175.52	0	54.0	0	34.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1299.62	0	2.9579	0	34.5122	0	27.508	0	1284.938	0	176.82	0	54.6	0	34.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8316	4	7.5664	4	2329	0	2244	4	576.3	4
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1199.07	0	3.0162	0	34.4391	0	27.443	0	1185.807	0	183.31	0	56.6	0	34.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2321	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	1099.46	0	3.3238	0	34.4117	0	27.393	0	1087.557	0	188.19	0	58.6	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2317	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	999.45	0	3.3605	0	34.3460	0	27.336	0	988.865	0	200.47	0	62.4	0	33.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2309	0	 -1e10	1	 -1e10	1
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	951.61	0	3.6170	0	34.3308	0	27.299	0	941.639	0	204.69	0	64.1	0	32.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8638	4	7.5919	4	2305	0	2213	4	550.5	4
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	901.26	0	3.8080	0	34.3186	0	27.270	0	891.924	0	209.30	0	65.8	0	32.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8682	4	7.5968	4	2302	0	2208	4	547.4	4
5906221	1	C	02/16/2020	03:27	85.620	-46.007	0	851.32	0	4.0484	0	34.3105	0	27.239	0	842.602	0	212.46	0	67.2	0	31.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1e10	1	-1e10	1	2299	0	 -1e10	1	 -1e10	1
