//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:10
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905378
//Univ. of Washington ID: 12748
//MBARI ID: 12748SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 10 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9270	
//Temperature[°C]	Sbe41cp	9270	
//Salinity[pss]	Sbe41cp	9270	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2728	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0084  Spec#105040 Equitech Ti probe #1604.25  MBARI ARGO float#781  DF#178  CTD#9269	
//Chl_a[mg/m^3]	FLBBAP2	4431	
//Chl_a_corr[mg/m^3]	FLBBAP2	4431	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4431	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4431	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	181	
//pH25C[Total]	Durafet	181	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0370	0.0000	0.0000
//Nitrate	1	1.0000	2.9597	-19.4375
//Nitrate	4	1.0000	1.9363	1.2162
//Nitrate	10	1.0000	3.0857	0.0000
//pH	1	1.0000	-0.0302	-0.3721
//pH	3	1.0000	-0.0339	0.3929
//pH	5	1.0000	0.0018	-0.0795
//pH	10	1.0000	-0.0115	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1999.86	0	0.6864	0	34.7034	0	27.834	0	1971.040	0	212.54	0	62.0	0	32.16	0	0.0037	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.8842	4	7.6078	4	2354	0	2253	4	464.9	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1899.42	0	0.7722	0	34.7075	0	27.832	0	1872.488	0	209.33	0	61.2	0	31.96	0	0.0037	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8860	4	7.6070	4	2355	0	2254	4	468.7	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1800.00	0	0.8445	0	34.7111	0	27.830	0	1774.893	0	208.28	0	61.0	0	31.90	0	0.0037	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.8870	4	7.6052	4	2355	0	2255	4	473.2	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1699.35	0	0.9159	0	34.7157	0	27.829	0	1676.044	0	207.35	0	60.9	0	31.73	0	0.0037	0	0.0012	0	0.000284	1	-1E+10	1	0.99	1	7.8905	4	7.6056	4	2354	0	2254	4	474.8	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1599.57	0	0.9989	0	34.7200	0	27.827	0	1578.003	0	206.19	0	60.7	0	31.57	0	0.0073	0	0.0024	0	0.000284	1	-1E+10	1	0.99	1	7.8922	4	7.6046	4	2354	0	2254	4	478.5	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1499.87	0	1.0806	0	34.7241	0	27.824	0	1479.996	0	205.18	0	60.5	0	31.43	0	0.0037	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.8963	4	7.6057	4	2354	0	2254	4	479.4	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1398.82	0	1.1666	0	34.7276	0	27.821	0	1380.615	0	204.53	0	60.5	0	31.17	0	0.0037	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	7.9004	4	7.6070	4	2353	0	2252	4	480.1	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1299.87	0	1.2518	0	34.7311	0	27.817	0	1283.254	0	203.61	0	60.3	0	31.21	0	0.0073	0	0.0024	0	0.000296	1	-1E+10	1	1.02	1	7.9012	4	7.6052	4	2351	0	2251	4	484.8	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1199.50	0	1.3323	0	34.7354	0	27.815	0	1184.449	0	202.60	0	60.1	0	30.95	0	0.0037	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	7.9041	4	7.6052	4	2351	0	2251	4	487.2	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	1099.17	0	1.4118	0	34.7381	0	27.811	0	1085.637	0	201.33	0	59.9	0	30.80	0	0.0037	0	0.0012	0	0.000285	1	-1E+10	1	1.00	1	7.9074	4	7.6056	4	2351	0	2251	4	489.0	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	999.95	0	1.4878	0	34.7395	0	27.806	0	987.872	0	200.32	0	59.7	0	30.84	0	0.0037	0	0.0012	0	0.000297	1	-1E+10	1	1.02	1	7.9090	4	7.6045	4	2350	0	2250	4	492.8	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	951.68	0	1.5237	0	34.7415	0	27.805	0	940.294	0	199.90	0	59.6	0	30.59	0	0.0073	0	0.0024	0	0.000319	1	-1E+10	1	1.08	1	7.9176	4	7.6110	4	2349	0	2247	4	484.9	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	900.98	0	1.5713	0	34.7412	0	27.801	0	890.308	0	198.85	0	59.4	0	30.69	0	0.0037	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9149	4	7.6073	4	2349	0	2248	4	491.3	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	850.82	0	1.6203	0	34.7428	0	27.798	0	840.843	0	198.00	0	59.2	0	30.67	0	0.0037	0	0.0012	0	0.000319	1	-1E+10	1	1.08	1	7.9126	4	7.6041	4	2349	0	2250	4	497.2	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	801.24	0	1.6588	0	34.7402	0	27.793	0	791.938	0	196.64	0	58.9	0	30.81	0	0.0037	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9100	4	7.6005	4	2349	0	2250	4	503.3	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	751.05	0	1.7021	0	34.7397	0	27.789	0	742.420	0	195.68	0	58.6	0	30.66	0	0.0037	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9076	4	7.5971	4	2348	0	2251	4	509.3	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	701.61	0	1.7436	0	34.7366	0	27.784	0	693.630	0	193.96	0	58.2	0	30.95	0	0.0109	0	0.0037	0	0.000354	1	-1E+10	1	1.17	1	7.9061	4	7.5945	4	2348	0	2252	4	514.3	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	651.10	0	1.7877	0	34.7336	0	27.778	0	643.773	0	192.43	0	57.8	0	31.01	0	0.0073	0	0.0024	0	0.000410	1	-1E+10	1	1.32	1	7.9027	4	7.5902	4	2347	0	2253	4	521.7	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	600.71	0	1.8344	0	34.7326	0	27.773	0	594.022	0	191.36	0	57.5	0	31.00	0	0.0073	0	0.0024	0	0.000354	1	-1E+10	1	1.17	1	7.9029	4	7.5891	4	2346	0	2252	4	524.6	4
5905378	1	C	02/12/2018	11:48	132.186	-63.559	0	551.43	0	1.8607	0	34.7292	0	27.768	0	545.355	0	190.09	0	57.2	0	31.22	0	0.0073	0	0.0024	0	0.000354	1	-1E+10	1	1.17	1	7.9013	4	7.5862	4	2345	0	2253	4	529.7	4
