//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:07
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906249
//Univ. of Washington ID: 18321
//MBARI ID: 18321SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11768	
//Temperature[°C]	Sbe41cp	11768	
//Salinity[pss]	Sbe41cp	11768	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3110	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204313  Spec#118379 Equitech Ti probe #1909.06  ARGO float#875  DF#273  CTD#11768	
//Chl_a[mg/m^3]	FLBBAP2	5532	
//Chl_a_corr[mg/m^3]	FLBBAP2	5532	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5532	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5532	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	273	
//pH25C[Total]	Durafet	273	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0480	0.0000	0.0000
//Nitrate	1	1.0000	-2.3584	-24.5287
//Nitrate	3	1.0000	-3.2542	-0.8862
//Nitrate	26	1.0000	-3.7185	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1799.96	0	2.7155	0	34.7401	0	27.715	0	1778.349	0	194.62	0	59.8	0	29.58	0	0.0037	0	0.0012	0	0.000262	1	-1E+10	1	0.93	1	24.2192	8	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1699.84	0	2.7252	0	34.6999	0	27.681	0	1679.827	0	187.20	0	57.5	0	30.65	0	0.0037	0	0.0012	0	0.000262	1	-1E+10	1	0.93	1	24.2465	8	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1600.03	0	2.7838	0	34.6700	0	27.651	0	1581.564	0	183.70	0	56.5	0	31.23	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.94	1	24.2711	8	-1e10	1	2335	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1499.46	0	2.8282	0	34.6366	0	27.620	0	1482.507	0	180.93	0	55.7	0	31.94	0	0.0037	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	24.3318	8	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1399.55	0	2.8261	0	34.5767	0	27.572	0	1384.054	0	177.85	0	54.7	0	32.93	0	0.0073	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	24.3071	8	-1e10	1	2331	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1300.04	0	2.8925	0	34.5219	0	27.521	0	1285.949	0	178.49	0	55.0	0	33.31	0	0.0037	0	0.0012	0	0.000308	1	-1E+10	1	1.05	1	24.3176	8	-1e10	1	2327	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1200.08	0	3.0049	0	34.4849	0	27.481	0	1187.354	0	180.53	0	55.8	0	33.40	0	0.0037	0	0.0012	0	0.000263	1	-1E+10	1	0.94	1	24.3712	8	-1e10	1	2323	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	1099.38	0	3.1644	0	34.4326	0	27.424	0	1087.983	0	186.01	0	57.7	0	33.24	0	0.0037	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	24.4653	8	-1e10	1	2317	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	999.60	0	3.2522	0	34.3554	0	27.354	0	989.472	0	199.06	0	61.8	0	32.75	0	0.0037	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	24.5325	8	-1e10	1	2308	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	951.38	0	3.2843	0	34.3305	0	27.331	0	941.849	0	204.26	0	63.5	0	32.43	0	0.0037	0	0.0012	0	0.000287	1	-1E+10	1	1.00	1	24.5617	8	-1e10	1	2306	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	901.90	0	3.3405	0	34.3082	0	27.307	0	892.970	0	209.62	0	65.2	0	32.07	0	0.0000	0	0.0000	0	0.000287	1	-1E+10	1	1.00	1	24.5814	8	-1e10	1	2302	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	851.98	0	3.4280	0	34.2844	0	27.280	0	843.645	0	215.44	0	67.1	0	31.62	0	0.0000	0	0.0000	0	0.000265	1	-1E+10	1	0.94	1	24.6113	8	-1e10	1	2299	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	801.44	0	3.5424	0	34.2554	0	27.245	0	793.696	0	223.33	0	69.8	0	30.95	0	0.0000	0	0.0000	0	0.000287	1	-1E+10	1	1.00	1	24.6598	8	-1e10	1	2295	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	751.70	0	3.7101	0	34.2440	0	27.219	0	744.525	0	227.59	0	71.4	0	30.43	0	0.0000	0	0.0000	0	0.000288	1	-1E+10	1	1.00	1	24.7172	8	-1e10	1	2293	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	701.72	0	3.8183	0	34.2237	0	27.192	0	695.105	0	233.94	0	73.6	0	29.83	0	0.0000	0	0.0000	0	0.000310	1	-1E+10	1	1.06	1	24.7749	8	-1e10	1	2290	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	651.75	0	3.9380	0	34.1989	0	27.160	0	645.684	0	241.20	0	76.1	0	29.09	0	0.0000	0	0.0000	0	0.000311	1	-1E+10	1	1.06	1	24.8373	8	-1e10	1	2285	0	 -1e10	1	 -1e10	1
5906249	1	C	03/25/2020	13:58	3.024	-40.963	0	601.55	0	4.2185	0	34.1967	0	27.129	0	596.023	0	245.19	0	77.8	0	28.38	0	0.0000	0	0.0000	0	0.000322	1	-1E+10	1	1.09	1	24.8941	8	-1e10	1	2278	0	 -1e10	1	 -1e10	1
