//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906293
//Univ. of Washington ID: 19139
//MBARI ID: 19139CalCurrent
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12316	
//Temperature[°C]	Sbe41cp	12316	
//Salinity[pss]	Sbe41cp	12316	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3284	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204287  Spec#118383 Equitech Ti probe #1909.12  ARGO float#879  DF#259  CTD#12316	
//Chl_a[mg/m^3]	FLBBAP2	6052	
//Chl_a_corr[mg/m^3]	FLBBAP2	6052	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	6052	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	6052	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	259	
//pH25C[Total]	Durafet	259	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0563	0.0000	0.0000
//Nitrate	1	1.0000	-1.8389	-14.4441
//Nitrate	5	1.0000	-2.1539	-1.3226
//Nitrate	15	1.0000	-2.4735	0.0000
//pH	1	1.0000	-0.0268	-0.0334
//pH	14	1.0000	-0.0335	0.0000
//pH	15	1.0000	-0.0354	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	1499.01	0	2.5240	0	34.5190	0	27.552	0	1481.447	0	26.91	0	8.2	0	44.11	0	0.0109	0	0.0109	0	0.000288	1	-1E+10	1	1.00	1	7.5756	0	7.3431	0	2405	0	2397	0	1064.4	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	1400.25	0	2.6981	0	34.4985	0	27.520	0	1384.168	0	20.79	0	6.4	0	44.23	0	0.0109	0	0.0109	0	0.000300	1	-1E+10	1	1.03	1	7.5614	0	7.3294	0	2400	0	2397	0	1113.0	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	1300.01	0	2.8954	0	34.4749	0	27.484	0	1285.384	0	15.80	0	4.9	0	44.41	0	0.0109	0	0.0109	0	0.000289	1	-1E+10	1	1.00	1	7.5487	0	7.3171	0	2395	0	2396	0	1159.5	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	1199.15	0	3.0986	0	34.4465	0	27.442	0	1185.943	0	11.95	0	3.7	0	44.40	0	0.0109	0	0.0109	0	0.000289	1	-1E+10	1	1.01	1	7.5379	0	7.3064	0	2388	0	2393	0	1202.5	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	1099.48	0	3.3339	0	34.4225	0	27.400	0	1087.629	0	9.65	0	3.0	0	44.62	0	0.0109	0	0.0109	0	0.000313	1	-1E+10	1	1.07	1	7.5310	0	7.2995	0	2381	0	2388	0	1234.8	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	999.44	0	3.5471	0	34.3922	0	27.355	0	988.903	0	7.86	0	2.5	0	44.57	0	0.0146	0	0.0146	0	0.000314	1	-1E+10	1	1.07	1	7.5250	0	7.2932	0	2374	0	2383	0	1264.8	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	951.28	0	3.7092	0	34.3725	0	27.323	0	941.359	0	7.06	0	2.2	0	44.51	0	0.0109	0	0.0109	0	0.000314	1	-1E+10	1	1.07	1	7.5163	0	7.2858	0	2368	0	2380	0	1297.0	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	901.16	0	3.8513	0	34.3505	0	27.291	0	891.868	0	6.52	0	2.1	0	44.28	0	0.0109	0	0.0109	0	0.000338	1	-1E+10	1	1.13	1	7.5109	0	7.2809	0	2363	0	2376	0	1319.5	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	851.51	0	3.9418	0	34.3241	0	27.261	0	842.830	0	6.41	0	2.0	0	44.09	0	0.0109	0	0.0109	0	0.000338	1	-1E+10	1	1.13	1	7.5071	0	7.2768	0	2358	0	2372	0	1337.1	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	800.91	0	4.0841	0	34.3017	0	27.228	0	792.842	0	6.75	0	2.1	0	43.71	0	0.0109	0	0.0109	0	0.000315	1	-1E+10	1	1.07	1	7.5047	0	7.2745	0	2352	0	2368	0	1351.1	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	751.44	0	4.1704	0	34.2650	0	27.190	0	743.958	0	7.83	0	2.5	0	43.43	0	0.0109	0	0.0109	0	0.000315	1	-1E+10	1	1.07	1	7.5006	0	7.2701	0	2346	0	2363	0	1369.1	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	701.11	0	4.3166	0	34.2406	0	27.155	0	694.213	0	9.02	0	2.9	0	43.15	0	0.0109	0	0.0109	0	0.000339	1	-1E+10	1	1.14	1	7.4984	0	7.2681	0	2340	0	2358	0	1382.2	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	651.46	0	4.3141	0	34.1944	0	27.118	0	645.128	0	12.36	0	3.9	0	43.17	0	0.0109	0	0.0109	0	0.000316	1	-1E+10	1	1.07	1	7.4960	0	7.2641	0	2333	0	2352	0	1393.8	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	601.21	0	4.4237	0	34.1437	0	27.065	0	595.438	0	17.96	0	5.7	0	42.93	0	0.0109	0	0.0109	0	0.000316	1	-1E+10	1	1.08	1	7.4971	0	7.2645	0	2325	0	2344	0	1394.2	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	551.59	0	4.6227	0	34.1128	0	27.019	0	546.360	0	23.52	0	7.5	0	42.22	0	0.0109	0	0.0109	0	0.000293	1	-1E+10	1	1.01	1	7.5052	0	7.2721	0	2317	0	2334	0	1372.9	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	501.72	0	4.8417	0	34.0653	0	26.957	0	497.022	0	34.33	0	11.0	0	41.40	0	0.0073	0	0.0073	0	0.000317	1	-1E+10	1	1.08	1	7.5155	0	7.2821	0	2308	0	2322	0	1343.6	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	451.08	0	5.0429	0	34.0122	0	26.891	0	446.911	0	47.03	0	15.2	0	40.34	0	0.0073	0	0.0073	0	0.000353	1	-1E+10	1	1.17	1	7.5329	0	7.2981	0	2297	0	2305	0	1291.4	0
5906293	1	C	08/13/2020	03:17	232.602	45.486	0	400.90	0	5.4314	0	33.9867	0	26.826	0	397.243	0	57.31	0	18.7	0	38.76	0	0.0037	0	0.0037	0	0.000377	1	-1E+10	1	1.23	1	7.5527	0	7.3185	0	2287	0	2288	0	1236.3	0
