//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:55
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906250
//Univ. of Washington ID: 18069
//MBARI ID: 18069SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 24 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 15 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11525	
//Temperature[°C]	Sbe41cp	11525	
//Salinity[pss]	Sbe41cp	11525	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3103	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.205254  Spec#118370 Equitech Ti probe #1905.01  ARGO float#877  DF#269  CTD#11525	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	269	
//pH25C[Total]	Durafet	269	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0313	0.0000	0.0000
//Nitrate	1	1.0000	-1.5309	-0.8300
//Nitrate	20	1.0000	-1.8667	0.9175
//Nitrate	26	1.0000	-1.7441	0.0000
//pH	1	1.0000	0.0453	-1.2078
//pH	3	1.0000	-0.0019	-0.0291
//pH	26	1.0000	-0.0180	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1798.43	0	2.7183	0	34.7364	0	27.712	0	1776.842	0	196.79	0	60.5	0	29.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8892	0	7.6333	0	2336	0	2225	0	472.0	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1699.65	0	2.7263	0	34.6989	0	27.680	0	1679.639	0	187.19	0	57.5	0	31.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8742	0	7.6162	0	2336	0	2233	0	496.0	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1599.81	0	2.7852	0	34.6714	0	27.652	0	1581.346	0	183.53	0	56.5	0	31.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8665	0	7.6064	0	2336	0	2236	0	511.7	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1499.83	0	2.8560	0	34.6421	0	27.622	0	1482.871	0	180.56	0	55.6	0	31.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8604	0	7.5982	0	2334	0	2237	0	525.6	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1399.81	0	2.8384	0	34.5828	0	27.575	0	1384.309	0	177.33	0	54.6	0	33.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8450	0	7.5804	0	2332	0	2242	0	552.0	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1299.89	0	2.9285	0	34.5339	0	27.528	0	1285.800	0	177.37	0	54.7	0	33.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8410	0	7.5744	0	2327	0	2240	0	563.4	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1200.52	0	3.0127	0	34.4801	0	27.477	0	1187.787	0	180.37	0	55.7	0	33.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8410	0	7.5720	0	2323	0	2236	0	569.2	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	1099.66	0	3.1866	0	34.4114	0	27.405	0	1088.258	0	188.44	0	58.4	0	33.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8465	0	7.5757	0	2315	0	2228	0	566.8	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	999.86	0	3.2549	0	34.3538	0	27.352	0	989.728	0	199.41	0	61.9	0	33.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8582	0	7.5836	0	2308	0	2219	0	555.6	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	951.98	0	3.2827	0	34.3315	0	27.332	0	942.441	0	203.88	0	63.3	0	32.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8630	0	7.5866	0	2306	0	2215	0	551.7	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	901.84	0	3.3729	0	34.2939	0	27.293	0	892.910	0	212.22	0	66.1	0	32.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8722	0	7.5944	0	2301	0	2208	0	541.4	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	851.66	0	3.4733	0	34.2702	0	27.264	0	843.328	0	218.92	0	68.3	0	31.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8819	0	7.6029	0	2298	0	2201	0	531.0	0
5906250	1	C	03/25/2020	13:02	3.029	-40.971	0	801.64	0	3.5973	0	34.2504	0	27.236	0	793.893	0	224.74	0	70.3	0	31.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8872	0	7.6076	0	2295	0	2197	0	526.8	0
