//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:01
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906247
//Univ. of Washington ID: 18161
//MBARI ID: 18161SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 24 25 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11759	
//Temperature[°C]	Sbe41cp	11759	
//Salinity[pss]	Sbe41cp	11759	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3108	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204278  Spec#118377 Equitech Ti probe #1905.04  ARGO float#872  DF#270  CTD#11759	
//Chl_a[mg/m^3]	FLBBAP2	5530	
//Chl_a_corr[mg/m^3]	FLBBAP2	5530	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5530	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5530	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	270	
//pH25C[Total]	Durafet	270	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0450	0.0000	0.0000
//Nitrate	1	1.0000	-1.4938	0.0000
//Nitrate	23	1.0000	-1.2704	0.0000
//Nitrate	26	1.0000	-1.3530	0.0000
//pH	1	1.0000	-0.0474	0.6122
//pH	3	1.0000	-0.0247	0.0075
//pH	25	1.0000	-0.0235	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1799.87	0	2.6850	0	34.7345	0	27.713	0	1778.185	0	192.67	0	59.2	0	29.83	0	0.0037	0	0.0012	0	0.000314	1	-1E+10	1	1.07	1	7.8867	0	7.6306	0	2337	0	2228	0	474.9	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1699.43	0	2.7196	0	34.7020	0	27.683	0	1679.352	0	187.06	0	57.5	0	30.74	0	0.0037	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8769	0	7.6185	0	2337	0	2232	0	492.6	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1599.51	0	2.7297	0	34.6718	0	27.657	0	1580.985	0	183.12	0	56.3	0	31.59	0	0.0073	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.8690	0	7.6079	0	2336	0	2236	0	508.3	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1499.80	0	2.7640	0	34.6228	0	27.615	0	1482.779	0	179.72	0	55.2	0	32.49	0	0.0037	0	0.0012	0	0.000326	1	-1E+10	1	1.10	1	7.8550	0	7.5921	0	2334	0	2240	0	532.2	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1399.55	0	2.8021	0	34.5689	0	27.568	0	1383.995	0	178.21	0	54.8	0	33.23	0	0.0073	0	0.0024	0	0.000362	1	-1E+10	1	1.20	1	7.8518	0	7.5860	0	2331	0	2239	0	542.3	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1299.94	0	2.8520	0	34.5097	0	27.515	0	1285.796	0	180.44	0	55.5	0	33.70	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.8474	8	7.5792	8	2326	0	2237	8	553.7	8
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1199.65	0	2.9277	0	34.4603	0	27.468	0	1186.880	0	183.90	0	56.7	0	33.83	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.8497	0	7.5787	0	2321	0	2233	0	556.1	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1099.42	0	3.0028	0	34.4067	0	27.418	0	1087.976	0	191.10	0	59.0	0	33.73	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.14	1	7.8601	8	7.5854	8	2315	0	2225	8	547.2	8
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	1000.03	0	3.2625	0	34.3641	0	27.360	0	989.855	0	198.40	0	61.6	0	33.15	0	0.0037	0	0.0012	0	0.000316	1	-1E+10	1	1.07	1	7.8702	0	7.5946	0	2309	0	2215	0	539.1	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	951.64	0	3.3208	0	34.3416	0	27.336	0	942.066	0	203.65	0	63.3	0	32.84	0	0.0000	0	0.0000	0	0.000316	1	-1E+10	1	1.07	1	7.8723	0	7.5956	0	2306	0	2212	0	538.8	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	901.78	0	3.3948	0	34.3030	0	27.298	0	892.814	0	211.98	0	66.0	0	32.34	0	0.0000	0	0.0000	0	0.000316	1	-1E+10	1	1.08	1	7.8809	0	7.6026	0	2301	0	2205	0	529.7	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	851.55	0	3.4875	0	34.2833	0	27.273	0	843.185	0	217.90	0	68.0	0	31.92	0	0.0000	0	0.0000	0	0.000352	1	-1E+10	1	1.17	1	7.8903	0	7.6106	0	2299	0	2200	0	519.9	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	801.50	0	3.5797	0	34.2580	0	27.244	0	793.721	0	223.67	0	69.9	0	31.46	0	0.0000	0	0.0000	0	0.000341	1	-1E+10	1	1.14	1	7.9006	0	7.6195	0	2295	0	2193	0	509.2	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	751.83	0	3.7273	0	34.2432	0	27.217	0	744.622	0	229.17	0	71.9	0	30.82	0	0.0000	0	0.0000	0	0.000353	1	-1E+10	1	1.17	1	7.9050	0	7.6239	0	2293	0	2189	0	506.3	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	701.72	0	3.7414	0	34.2088	0	27.188	0	695.076	0	238.83	0	75.0	0	30.20	0	0.0000	0	0.0000	0	0.000365	1	-1E+10	1	1.20	1	7.9179	0	7.6340	0	2289	0	2182	0	492.3	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	651.34	0	3.9654	0	34.2000	0	27.158	0	645.251	0	243.20	0	76.7	0	29.54	0	0.0000	0	0.0000	0	0.000378	1	-1E+10	1	1.24	1	7.9270	0	7.6438	0	2285	0	2174	0	483.6	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	601.69	0	4.1916	0	34.1978	0	27.133	0	596.136	0	245.57	0	77.9	0	28.89	0	0.0000	0	0.0000	0	0.000342	1	-1E+10	1	1.14	1	7.9290	0	7.6470	0	2280	0	2169	0	483.6	0
5906247	1	C	03/25/2020	19:48	2.927	-41.426	0	551.32	0	4.4410	0	34.1971	0	27.106	0	546.297	0	247.26	0	78.9	0	28.38	0	0.0000	0	0.0000	0	0.000354	1	-1E+10	1	1.17	1	7.9325	8	7.6521	8	2278	0	2165	8	482.1	8
