//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:29
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906222
//Univ. of Washington ID: 18852
//MBARI ID: 18852SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 8 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11517	
//Temperature[°C]	Sbe41cp	11517	
//Salinity[pss]	Sbe41cp	11517	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3093	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.205234  Spec#118367 Equitech Ti probe #1905.32  ARGO float#862  DF#SBE10311  CTD#11517	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	10311	
//pH25C[Total]	Durafet	10311	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0330	0.0000	0.0000
//Nitrate	1	1.0000	0.1368	-13.2169
//Nitrate	3	1.0000	-0.3560	0.1112
//Nitrate	33	1.0000	-0.2677	0.0000
//pH	1	1.0000	-0.0741	1.0288
//pH	3	1.0000	-0.0321	0.0708
//pH	11	1.0000	-0.0231	-0.0160
//pH	33	1.0000	-0.0261	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1599.74	0	2.9308	0	34.5670	4	27.556	0	1581.704	0	162.88	0	50.3	0	34.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8553	0	7.5983	4	2341	4	2245	4	528.1	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1499.92	0	3.1050	0	34.5223	4	27.504	0	1483.359	0	164.62	0	51.0	0	34.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8542	0	7.5960	4	2336	4	2241	4	535.4	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1399.85	0	3.2728	0	34.4826	4	27.456	0	1384.722	0	168.88	0	52.5	0	34.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8596	0	7.5997	4	2331	4	2234	4	533.5	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1298.85	0	3.5078	0	34.4410	4	27.400	0	1285.121	0	176.08	0	55.0	0	33.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8684	0	7.6072	4	2323	4	2224	4	527.1	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1199.83	0	3.7918	0	34.3992	4	27.339	0	1187.427	0	184.98	0	58.2	0	32.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8808	0	7.6189	4	2315	4	2212	4	515.9	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1099.83	0	4.3990	0	34.3682	4	27.251	0	1088.720	0	193.97	0	61.9	0	31.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8942	0	7.6361	4	2305	4	2196	4	504.2	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	1000.11	0	5.1560	0	34.3630	4	27.162	0	990.242	0	200.89	0	65.3	0	29.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9064	0	7.6544	4	2296	4	2181	4	494.5	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	951.63	0	5.8269	0	34.3897	4	27.103	0	942.350	0	199.29	0	65.8	0	28.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8968	0	7.6534	4	2293	4	2178	4	510.4	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	901.11	0	6.4247	0	34.4242	4	27.054	0	892.430	0	201.13	0	67.4	0	26.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8972	0	7.6604	4	2291	4	2174	4	513.7	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	851.49	0	7.1999	0	34.4706	4	26.986	0	843.388	0	202.64	0	69.1	0	24.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9076	0	7.6794	4	2289	4	2164	4	504.4	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	801.65	0	7.7082	0	34.5040	4	26.940	0	794.117	0	208.04	0	71.8	0	22.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9216	0	7.6980	4	2288	4	2156	4	490.2	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	751.80	0	8.3014	0	34.5531	4	26.890	0	744.824	0	219.86	0	76.9	0	20.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9448	0	7.7265	4	2289	4	2145	4	465.6	4
5906222	1	C	01/12/2020	19:40	108.268	-37.992	0	701.61	0	8.7350	0	34.5957	4	26.856	0	695.183	0	232.01	0	82.0	0	18.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9619	0	7.7472	4	2290	4	2138	4	449.0	4
