//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906214
//Univ. of Washington ID: 18242
//MBARI ID: 18242SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11764	
//Temperature[°C]	Sbe41cp	11764	
//Salinity[pss]	Sbe41cp	11764	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3091	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204304  Spec#114280 Equitech Ti probe #1905.22  MBARI ARGO float#853  DF#260  CTD#11764	
//Chl_a[mg/m^3]	FLBBAP2	5514	
//Chl_a_corr[mg/m^3]	FLBBAP2	5514	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5514	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5514	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	260	
//pH25C[Total]	Durafet	260	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0347	0.0000	0.0000
//Nitrate	1	1.0000	0.0701	-21.7184
//Nitrate	3	1.0000	-0.6942	0.5151
//Nitrate	12	1.0000	-0.6491	0.0000
//pH	1	1.0000	0.0088	-0.3066
//pH	3	1.0000	-0.0004	-0.0395
//pH	12	1.0000	-0.0084	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1799.62	0	2.3774	0	34.6099	0	27.639	0	1776.116	0	149.08	0	45.4	0	35.45	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8003	0	7.5486	0	2361	0	2282	0	591.7	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1699.49	0	2.4754	0	34.5915	0	27.615	0	1677.689	0	144.24	0	44.0	0	35.51	0	0.0072	0	0.0024	0	0.000344	1	-1E+10	1	1.15	1	7.7959	0	7.5424	0	2359	0	2282	0	604.9	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1600.09	0	2.5695	0	34.5708	0	27.590	0	1579.935	0	150.19	0	45.9	0	35.36	0	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.7964	0	7.5405	0	2349	0	2273	0	609.0	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1499.57	0	2.6784	0	34.5430	0	27.558	0	1481.032	0	150.56	0	46.2	0	35.70	0	0.0108	0	0.0036	0	0.000278	1	-1E+10	1	0.98	1	7.7912	0	7.5337	0	2344	0	2270	0	623.1	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1399.91	0	2.7874	0	34.5099	0	27.522	0	1382.931	0	153.11	0	47.0	0	35.60	0	0.0072	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.7908	0	7.5312	0	2338	0	2265	0	629.8	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1300.08	0	2.8725	0	34.4681	0	27.480	0	1284.615	0	162.04	0	49.9	0	34.75	0	0.0072	0	0.0024	0	0.000279	1	-1E+10	1	0.98	1	7.8062	0	7.5425	0	2328	0	2252	0	611.1	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1199.39	0	3.0350	0	34.4319	0	27.436	0	1185.406	0	168.78	0	52.2	0	34.66	0	0.0072	0	0.0024	0	0.000301	1	-1E+10	1	1.04	1	7.8067	0	7.5415	0	2321	0	2246	0	616.1	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	1099.99	0	3.1807	0	34.3866	0	27.386	0	1087.422	0	180.14	0	55.8	0	33.84	0	0.0108	0	0.0036	0	0.000291	1	-1E+10	1	1.01	1	7.8226	0	7.5542	0	2313	0	2234	0	597.8	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	999.96	0	3.4595	0	34.3386	0	27.321	0	988.771	0	191.46	0	59.7	0	32.97	0	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8360	0	7.5665	0	2304	0	2221	0	583.6	0
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	979.60	0	3.4900	0	34.3300	0	27.311	0	968.686	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	978.00	0	3.4940	0	34.3300	0	27.311	0	967.107	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	976.00	0	3.5010	0	34.3280	0	27.308	0	965.134	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	974.10	0	3.5120	0	34.3260	0	27.306	0	963.260	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	972.00	0	3.5190	0	34.3250	0	27.304	0	961.188	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	970.00	0	3.5290	0	34.3250	0	27.303	0	959.215	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	968.00	0	3.5410	0	34.3250	0	27.302	0	957.241	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906214	1	C	12/05/2019	03:12	279.479	-52.642	0	966.00	0	3.5500	0	34.3240	0	27.300	0	955.268	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
