//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:18
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906244
//Univ. of Washington ID: 18677
//MBARI ID: 18677SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11769	
//Temperature[°C]	Sbe41cp	11769	
//Salinity[pss]	Sbe41cp	11769	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3111	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204279  Spec#118378 Equitech Ti probe #1909.10  ARGO float#874  DF#263  CTD#11769	
//Chl_a[mg/m^3]	FLBBAP2	5533	
//Chl_a_corr[mg/m^3]	FLBBAP2	5533	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5533	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5533	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	263	
//pH25C[Total]	Durafet	263	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0584	0.0000	0.0000
//Nitrate	1	1.0000	-0.6489	-21.6805
//Nitrate	3	1.0000	-1.5762	0.8624
//Nitrate	26	1.0000	-0.9950	0.0000
//pH	1	1.0000	-0.0199	0.7376
//pH	3	1.0000	0.0039	0.0224
//pH	26	1.0000	0.0271	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	1499.79	0	2.9329	0	34.5108	0	27.510	0	1483.370	0	186.44	0	57.5	0	32.78	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	7.8452	0	7.5857	0	2322	0	2231	0	543.0	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	1399.64	0	3.0079	0	34.4529	0	27.457	0	1384.645	0	188.37	0	58.2	0	33.18	0	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1	7.8399	0	7.5783	0	2317	0	2229	0	555.9	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	1300.11	0	3.1674	0	34.3984	0	27.398	0	1286.485	0	195.96	0	60.7	0	32.77	0	0.0000	0	0.0000	0	0.000323	1	-1E+10	1	1.09	1	7.8494	0	7.5854	0	2311	0	2220	0	548.3	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	1200.16	0	3.3414	0	34.3338	0	27.330	0	1187.864	0	205.31	0	63.9	0	32.35	0	0.0000	0	0.0000	0	0.000323	1	-1E+10	1	1.09	1	7.8567	0	7.5908	0	2304	0	2212	0	543.8	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	1099.30	0	3.5979	0	34.2959	0	27.274	0	1088.299	0	213.95	0	67.0	0	31.50	0	0.0000	0	0.0000	0	0.000348	1	-1E+10	1	1.16	1	7.8693	0	7.6022	0	2298	0	2202	0	532.5	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	999.61	0	3.9235	0	34.2557	0	27.210	0	989.841	0	224.98	0	70.9	0	30.40	0	0.0000	0	0.0000	0	0.000312	1	-1E+10	1	1.07	1	7.8855	0	7.6179	0	2291	0	2190	0	516.5	0
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	979.10	0	4.0200	0	34.2580	0	27.202	0	969.579	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	978.00	0	4.0280	0	34.2580	0	27.201	0	968.493	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	976.00	0	4.0480	0	34.2580	0	27.199	0	966.517	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	974.00	0	4.0610	0	34.2580	0	27.197	0	964.541	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	972.00	0	4.0620	0	34.2580	0	27.197	0	962.565	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	970.00	0	4.0640	0	34.2580	0	27.197	0	960.589	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	968.00	0	4.0780	0	34.2590	0	27.196	0	958.613	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	966.00	0	4.0910	0	34.2590	0	27.195	0	956.637	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	964.00	0	4.1040	0	34.2600	0	27.194	0	954.660	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	962.00	0	4.1250	0	34.2610	0	27.193	0	952.684	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906244	1	C	03/26/2020	22:58	1.067	-36.936	0	960.00	0	4.1380	0	34.2610	0	27.192	0	950.708	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
