//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906228
//Univ. of Washington ID: 18097
//MBARI ID: 18097SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11529	
//Temperature[°C]	Sbe41cp	11529	
//Salinity[pss]	Sbe41cp	11529	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3107	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.2050  Spec#118375 Equitech Ti probe #1909.08  ARGO float#869  DF#267  CTD#11529	
//Chl_a[mg/m^3]	FLBBAP2	5529	
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]	FLBBAP2	5529	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5529	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	267	
//pH25C[Total]	Durafet	267	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0580	0.0000	0.0000
//Nitrate	1	1.0000	0.7230	-4.9034
//Nitrate	4	1.0000	0.4882	0.0000
//pH	1	1.0000	0.0314	-0.0854
//pH	4	1.0000	0.0296	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1799.82	0	1.0990	0	34.7133	0	27.816	0	1773.981	0	202.02	0	59.6	0	31.89	0	0.0219	0	-1E+10	1	0.000205	1	-1E+10	1	0.79	1	7.8880	0	7.6096	0	2359	0	2257	0	473.4	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1699.87	0	1.1576	0	34.7150	0	27.813	0	1675.860	0	198.38	0	58.6	0	31.77	0	0.0219	0	-1E+10	1	0.000205	1	-1E+10	1	0.79	1	7.8853	0	7.6043	0	2358	0	2258	0	482.2	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1599.67	0	1.2161	0	34.7172	0	27.810	0	1577.448	0	196.92	0	58.3	0	31.80	0	0.0219	0	-1E+10	1	0.000217	1	-1E+10	1	0.82	1	7.8864	0	7.6024	0	2357	0	2258	0	486.7	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1499.92	0	1.2771	0	34.7191	0	27.807	0	1479.432	0	196.00	0	58.1	0	31.62	0	0.0219	0	-1E+10	1	0.000205	1	-1E+10	1	0.79	1	7.8874	0	7.6005	0	2357	0	2258	0	491.2	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1399.95	0	1.3412	0	34.7206	0	27.803	0	1381.154	0	194.98	0	57.9	0	31.52	0	0.0219	0	-1E+10	1	0.000217	1	-1E+10	1	0.82	1	7.8903	0	7.6003	0	2356	0	2258	0	493.4	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1299.34	0	1.4113	0	34.7227	0	27.800	0	1282.201	0	194.03	0	57.7	0	31.50	0	0.0219	0	-1E+10	1	0.000229	1	-1E+10	1	0.85	1	7.8925	0	7.5996	0	2356	0	2258	0	496.7	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1199.91	0	1.4894	0	34.7240	0	27.795	0	1184.362	0	193.05	0	57.5	0	31.40	0	0.0182	0	-1E+10	1	0.000205	1	-1E+10	1	0.79	1	7.8935	0	7.5979	0	2356	0	2259	0	501.5	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1099.63	0	1.5734	0	34.7242	0	27.788	0	1085.640	0	191.44	0	57.2	0	31.45	0	0.0182	0	-1E+10	1	0.000218	1	-1E+10	1	0.82	1	7.8946	0	7.5964	0	2354	0	2258	0	505.9	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	1000.28	0	1.6536	0	34.7231	0	27.781	0	987.788	0	189.12	0	56.6	0	31.51	0	0.0219	0	-1E+10	1	0.000242	1	-1E+10	1	0.88	1	7.8918	0	7.5913	0	2353	0	2258	0	515.5	0
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	977.50	0	1.6770	0	34.7240	0	27.780	0	965.345	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	976.00	0	1.6800	0	34.7230	0	27.779	0	963.867	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	974.00	0	1.6810	0	34.7240	0	27.780	0	961.897	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	972.10	0	1.6820	0	34.7230	0	27.779	0	960.025	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	970.00	0	1.6830	0	34.7240	0	27.779	0	957.955	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	968.00	0	1.6850	0	34.7240	0	27.779	0	955.985	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906228	1	C	03/20/2020	21:35	264.416	-69.732	0	966.00	0	1.6880	0	34.7230	0	27.778	0	954.014	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
