//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:09
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906220
//Univ. of Washington ID: 18417
//MBARI ID: 18417SOOCN
//Missing Float profile(s) for station(s): 31 
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11526	
//Temperature[°C]	Sbe41cp	11526	
//Salinity[pss]	Sbe41cp	11526	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3104	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.205240  Spec#118372 Equitech Ti probe #1604.09  ARGO float#867  DF#SBE10314  CTD#11526	
//Chl_a[mg/m^3]	FLBBAP2	5526	
//Chl_a_corr[mg/m^3]	FLBBAP2	5526	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5526	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5526	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10314	
//pH25C[Total]	Durafet	10314	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0253	0.0000	0.0000
//Nitrate	1	1.0000	-2.8675	-4.4796
//Nitrate	7	1.0000	-3.5871	-0.4228
//Nitrate	32	1.0000	-3.8534	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1899.70	0	1.0787	0	34.7260	0	27.828	0	1874.406	0	206.22	0	60.8	0	31.43	0	0.0073	0	0.0024	0	0.000207	1	-1E+10	1	0.79	1	-1e10	1	-1e10	1	2358	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1800.12	0	1.1192	0	34.7291	0	27.827	0	1776.568	0	205.74	0	60.7	0	31.13	0	0.0037	0	0.0012	0	0.000219	1	-1E+10	1	0.82	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1700.03	0	1.1473	0	34.7296	0	27.825	0	1678.183	0	204.85	0	60.5	0	31.24	0	0.0000	0	0.0000	0	0.000207	1	-1E+10	1	0.79	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1599.87	0	1.2190	0	34.7353	0	27.824	0	1579.683	0	204.95	0	60.7	0	30.96	0	0.0000	0	0.0000	0	0.000207	1	-1E+10	1	0.79	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1499.63	0	1.2805	0	34.7384	0	27.822	0	1481.058	0	204.35	0	60.6	0	30.89	0	0.0000	0	0.0000	0	0.000195	1	-1E+10	1	0.76	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1399.80	0	1.3344	0	34.7396	0	27.819	0	1382.791	0	203.54	0	60.4	0	30.63	0	0.0073	0	0.0024	0	0.000220	1	-1E+10	1	0.82	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1299.50	0	1.4061	0	34.7413	0	27.815	0	1284.015	0	202.25	0	60.1	0	30.62	0	0.0037	0	0.0012	0	0.000208	1	-1E+10	1	0.79	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1199.96	0	1.4645	0	34.7433	0	27.812	0	1185.942	0	201.14	0	59.9	0	30.48	0	0.0073	0	0.0024	0	0.000196	1	-1E+10	1	0.76	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	1099.73	0	1.5210	0	34.7443	0	27.808	0	1087.142	0	199.93	0	59.6	0	30.57	0	0.0037	0	0.0012	0	0.000208	1	-1E+10	1	0.79	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	999.71	0	1.6094	0	34.7450	0	27.802	0	988.502	0	198.13	0	59.2	0	30.39	0	0.0037	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2351	0	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	979.80	0	1.6390	0	34.7450	0	27.799	0	968.861	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	978.00	0	1.6380	0	34.7450	0	27.800	0	967.086	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	976.00	0	1.6430	0	34.7450	0	27.799	0	965.113	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	974.00	0	1.6480	0	34.7450	0	27.799	0	963.140	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	972.00	0	1.6460	0	34.7450	0	27.799	0	961.166	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	970.00	0	1.6480	0	34.7450	0	27.799	0	959.193	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906220	1	C	01/21/2020	21:40	81.251	-52.892	0	968.00	0	1.6520	0	34.7450	0	27.798	0	957.220	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
