//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:18
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906236
//Univ. of Washington ID: 18709
//MBARI ID: 18709EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11431	
//Temperature[°C]	Sbe41cp	11431	
//Salinity[pss]	Sbe41cp	11431	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3061	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5696	
//Chl_a_corr[mg/m^3]	FLBBAP2	5696	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5696	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5696	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	246	
//pH25C[Total]	Durafet	246	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0321	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0262	-0.8964
//pH	3	1.0000	-0.0108	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1699.84	0	2.7376	0	34.5837	0	27.587	0	1683.633	0	91.63	0	28.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000196	1	-1E+10	1	0.76	1	7.7076	0	7.4686	0	2395	0	2347	0	760.5	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1600.02	0	2.9114	0	34.5760	0	27.565	0	1585.138	0	87.70	0	27.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000197	1	-1E+10	1	0.77	1	7.6986	0	7.4593	0	2391	0	2346	0	785.8	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1499.26	0	3.0745	0	34.5694	0	27.545	0	1485.669	0	83.48	0	25.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000185	1	-1E+10	1	0.73	1	7.6890	0	7.4493	0	2387	0	2346	0	813.5	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1399.85	0	3.2927	0	34.5624	0	27.518	0	1387.486	0	79.06	0	24.6	0	-1E+10	1	0.0109	0	0.0109	0	0.000198	1	-1E+10	1	0.77	1	7.6778	0	7.4386	0	2382	0	2345	0	845.2	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1300.24	0	3.4965	0	34.5546	0	27.492	0	1289.061	0	77.20	0	24.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000198	1	-1E+10	1	0.77	1	7.6738	0	7.4342	0	2376	0	2340	0	862.1	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1199.66	0	3.8023	0	34.5427	0	27.452	0	1189.630	0	77.15	0	24.3	0	-1E+10	1	0.0073	0	0.0073	0	0.000199	1	-1E+10	1	0.77	1	7.6745	0	7.4350	0	2366	0	2330	0	868.7	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	1099.43	0	4.2812	0	34.5276	0	27.390	0	1090.498	0	76.36	0	24.3	0	-1E+10	1	0.0073	0	0.0073	0	0.000187	1	-1E+10	1	0.74	1	7.6721	0	7.4354	0	2352	0	2316	0	881.2	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	999.53	0	4.6986	0	34.5183	0	27.337	0	991.645	0	76.71	0	24.7	0	-1E+10	1	0.0037	0	0.0037	0	0.000213	1	-1E+10	1	0.81	1	7.6762	0	7.4408	0	2343	0	2305	0	881.3	0
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	977.80	0	4.8790	0	34.5150	0	27.314	0	970.137	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	976.00	0	4.8830	0	34.5150	0	27.313	0	968.355	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	974.00	0	4.8930	0	34.5150	0	27.312	0	966.375	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	972.00	0	4.9060	0	34.5150	0	27.311	0	964.396	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	970.00	0	4.9160	0	34.5150	0	27.310	0	962.416	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	968.00	0	4.9320	0	34.5140	0	27.307	0	960.436	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	966.00	0	4.9420	0	34.5140	0	27.306	0	958.456	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	964.00	0	4.9540	0	34.5140	0	27.305	0	956.477	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906236	1	C	03/18/2020	20:27	219.791	2.047	0	962.00	0	4.9590	0	34.5140	0	27.304	0	954.497	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
