//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:45
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905370
//Univ. of Washington ID: 12734
//MBARI ID: 12734SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 34 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9287	
//Temperature[°C]	Sbe41cp	9287	
//Salinity[pss]	Sbe41cp	9287	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2680	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0079  Spec#107979 Equitech Ti probe #1703.06  MBARI ARGO float#792  DF#190  CTD#9287	
//Chl_a[mg/m^3]	FLBBAP2	4436	
//Chl_a_corr[mg/m^3]	FLBBAP2	4436	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4436	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4436	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	190	
//pH25C[Total]	Durafet	190	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0481	0.0000	0.0000
//Nitrate	1	1.0000	6.4219	-27.1302
//Nitrate	6	1.0000	2.3303	-0.4506
//Nitrate	31	1.0000	2.1596	0.0000
//pH	1	1.0000	-0.0458	0.1376
//pH	6	1.0000	-0.0279	-0.0398
//pH	21	1.0000	-0.0701	0.0223
//pH	31	1.0000	-0.0655	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1999.56	0	1.6749	0	34.7516	0	27.808	0	1972.277	0	203.95	0	61.1	0	30.34	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.9032	0	7.6388	0	2351	0	2239	0	445.9	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1899.02	0	1.7646	0	34.7547	0	27.803	0	1873.551	0	202.18	0	60.7	0	30.23	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.9023	0	7.6355	0	2351	0	2240	0	452.4	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1799.59	0	1.8336	0	34.7556	0	27.798	0	1775.869	0	201.02	0	60.4	0	29.94	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1	7.9015	0	7.6321	0	2350	0	2240	0	458.6	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1699.11	0	1.9064	0	34.7543	0	27.791	0	1677.110	0	199.45	0	60.1	0	29.93	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1	7.8986	0	7.6268	0	2349	0	2241	0	467.5	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1599.18	0	1.9946	0	34.7511	0	27.781	0	1578.846	0	196.84	0	59.4	0	30.17	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1	7.8947	0	7.6208	0	2348	0	2242	0	477.6	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1498.83	0	2.0578	0	34.7470	0	27.772	0	1480.123	0	194.46	0	58.8	0	30.33	0	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.8919	0	7.6155	0	2347	0	2244	0	486.7	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1400.10	0	2.1381	0	34.7388	0	27.759	0	1382.949	0	191.83	0	58.1	0	30.50	0	0.0036	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.8871	0	7.6086	0	2346	0	2245	0	498.2	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1298.68	0	2.1887	0	34.7274	0	27.745	0	1283.079	0	188.06	0	57.0	0	30.81	0	0.0036	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8813	0	7.6003	0	2344	0	2246	0	511.4	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1200.00	0	2.2371	0	34.7146	0	27.730	0	1185.863	0	184.92	0	56.1	0	31.23	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.8759	0	7.5925	0	2344	0	2249	0	524.4	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	1099.82	0	2.3060	0	34.6898	0	27.704	0	1087.122	0	179.87	0	54.7	0	32.04	0	0.0036	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8669	0	7.5817	0	2341	0	2251	0	542.3	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	999.06	0	2.3415	0	34.6704	0	27.685	0	987.762	0	176.64	0	53.8	0	32.41	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.8602	0	7.5724	0	2340	0	2252	0	557.7	0
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	977.80	0	2.3460	0	34.6650	0	27.680	0	966.792	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	976.00	0	2.3460	0	34.6650	0	27.680	0	965.016	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	974.00	0	2.3490	0	34.6630	0	27.678	0	963.043	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	972.00	0	2.3500	0	34.6620	0	27.677	0	961.070	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	970.00	0	2.3510	0	34.6620	0	27.677	0	959.097	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	968.00	0	2.3510	0	34.6610	0	27.677	0	957.124	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905370	1	C	12/24/2017	04:20	68.027	-54.024	0	966.00	0	2.3530	0	34.6600	0	27.676	0	955.151	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
