//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:06
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906008
//Univ. of Washington ID: 12879
//MBARI ID: 12879SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10370	
//Temperature[°C]	Sbe41cp	10370	
//Salinity[pss]	Sbe41cp	10370	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2855	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0131  Spec#107998 Equitech Ti probe #1703.01  MBARI ARGO float#811  DF#222  CTD#10370	
//Chl_a[mg/m^3]	FLBBAP2	4679	
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]	FLBBAP2	4679	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4679	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	222	
//pH25C[Total]	Durafet	222	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0855	0.0000	0.0000
//Nitrate	1	1.0000	3.7086	-23.2887
//Nitrate	3	1.0000	3.1094	3.5631
//Nitrate	12	1.0000	3.8223	0.0000
//pH	1	1.0000	-0.0366	1.5203
//pH	3	1.0000	0.0012	0.0000
//pH	11	1.0000	0.0180	0.0000
//pH	12	1.0000	0.0147	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1798.88	0	-0.1343	0	34.6445	0	27.831	0	1774.632	0	227.08	0	64.9	0	33.69	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.8845	0	7.5893	0	2353	0	2259	0	472.0	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1699.64	0	-0.1094	0	34.6461	0	27.831	0	1677.122	0	224.28	0	64.1	0	33.70	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.8845	0	7.5860	0	2353	0	2261	0	477.8	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1598.97	0	-0.0819	0	34.6466	0	27.829	0	1578.160	0	221.94	0	63.5	0	33.66	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.8872	0	7.5850	0	2354	0	2261	0	480.4	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1498.46	0	-0.0603	0	34.6476	0	27.829	0	1479.309	0	220.23	0	63.0	0	33.73	0	0.0360	0	-1E+10	1	0.000261	1	-1E+10	1	0.93	1	7.8913	0	7.5853	0	2354	0	2261	0	481.2	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1399.96	0	-0.0286	0	34.6497	0	27.828	0	1382.390	0	218.52	0	62.6	0	33.64	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.9003	0	7.5901	0	2354	0	2260	0	476.1	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1299.62	0	0.0012	0	34.6511	0	27.828	0	1283.615	0	216.73	0	62.1	0	33.61	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.8987	0	7.5854	0	2354	0	2262	0	483.9	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1197.33	0	0.0349	0	34.6528	0	27.827	0	1182.872	0	214.10	0	61.4	0	33.62	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.9053	0	7.5880	0	2355	0	2261	0	482.1	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	1099.55	0	0.0796	0	34.6539	0	27.825	0	1086.525	0	212.11	0	60.9	0	33.38	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.9049	0	7.5846	0	2355	0	2263	0	488.4	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	998.94	0	0.1214	0	34.6569	0	27.825	0	987.344	0	209.83	0	60.3	0	33.57	0	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	7.9070	0	7.5833	0	2356	0	2264	0	491.9	0
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	979.20	0	0.1320	0	34.6560	0	27.824	0	967.878	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	978.00	0	0.1330	0	34.6570	0	27.825	0	966.695	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	976.00	0	0.1360	0	34.6570	0	27.824	0	964.723	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	974.00	0	0.1380	0	34.6570	0	27.824	0	962.751	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	972.00	0	0.1380	0	34.6570	0	27.824	0	960.778	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	970.00	0	0.1380	0	34.6570	0	27.824	0	958.806	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	968.00	0	0.1400	0	34.6570	0	27.824	0	956.834	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906008	1	C	03/24/2019	03:00	15.341	-57.566	0	966.00	0	0.1410	0	34.6570	0	27.824	0	954.861	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
