//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905369
//Univ. of Washington ID: 12730
//MBARI ID: 12730SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9032	
//Temperature[°C]	Sbe41cp	9032	
//Salinity[pss]	Sbe41cp	9032	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2717	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0051 Spec#107982 Equitech Ti probe #1703.11  MBARI ARGO float#796  DF#197  CTD#9032	
//Chl_a[mg/m^3]	FLBBAP2	4427	
//Chl_a_corr[mg/m^3]	FLBBAP2	4427	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4427	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4427	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	197	
//pH25C[Total]	Durafet	197	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0580	0.0000	0.0000
//Nitrate	1	1.0000	2.0657	-44.4623
//Nitrate	3	1.0000	0.6945	1.0188
//Nitrate	11	1.0000	0.7116	0.0000
//pH	1	1.0000	-0.0267	0.1747
//pH	3	1.0000	-0.0133	-0.2220
//pH	6	1.0000	-0.0086	0.0295
//pH	11	1.0000	-0.0109	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1999.05	0	0.4462	0	34.6868	0	27.835	0	1970.183	0	210.84	0	61.2	0	32.70	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8717	0	7.5933	0	2358	0	2262	0	479.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1899.35	0	0.4987	0	34.6899	0	27.834	0	1872.360	0	209.72	0	60.9	0	32.53	0	0.0000	0	0.0000	0	0.000256	1	-1E+10	1	0.92	1	7.8748	0	7.5931	0	2358	0	2263	0	481.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1798.02	0	0.5561	0	34.6924	0	27.832	0	1772.892	0	209.01	0	60.8	0	32.33	0	0.0037	0	0.0012	0	0.000223	1	-1E+10	1	0.83	1	7.8772	0	7.5923	0	2358	0	2263	0	484.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1699.41	0	0.6038	0	34.6936	0	27.830	0	1676.050	0	208.01	0	60.6	0	32.28	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8813	0	7.5930	0	2357	0	2262	0	485.2	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1599.11	0	0.6571	0	34.6974	0	27.830	0	1577.501	0	207.79	0	60.6	0	32.11	0	0.0000	0	0.0000	0	0.000212	1	-1E+10	1	0.81	1	7.8871	0	7.5952	0	2357	0	2261	0	484.0	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1499.86	0	0.7079	0	34.7001	0	27.828	0	1479.940	0	207.24	0	60.5	0	32.09	0	0.0000	0	0.0000	0	0.000245	1	-1E+10	1	0.89	1	7.8912	0	7.5960	0	2357	0	2260	0	484.6	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1399.76	0	0.7678	0	34.7024	0	27.826	0	1381.496	0	206.89	0	60.5	0	31.78	0	0.0000	0	0.0000	0	0.000246	1	-1E+10	1	0.89	1	7.8962	0	7.5976	0	2356	0	2259	0	484.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1299.46	0	0.8491	0	34.7070	0	27.824	0	1282.810	0	206.15	0	60.4	0	31.59	0	0.0000	0	0.0000	0	0.000235	1	-1E+10	1	0.86	1	7.8999	0	7.5984	0	2356	0	2259	0	485.8	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1199.72	0	0.9373	0	34.7114	0	27.822	0	1184.628	0	205.62	0	60.4	0	31.51	0	0.0000	0	0.0000	0	0.000235	1	-1E+10	1	0.86	1	7.9059	0	7.6013	0	2355	0	2257	0	484.3	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	1099.65	0	1.0182	0	34.7144	0	27.819	0	1086.076	0	204.34	0	60.2	0	31.26	0	0.0000	0	0.0000	0	0.000235	1	-1E+10	1	0.86	1	7.9090	0	7.6015	0	2355	0	2256	0	486.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	999.27	0	1.0928	0	34.7171	0	27.815	0	987.171	0	203.21	0	59.9	0	30.99	0	0.0000	0	0.0000	0	0.000268	1	-1E+10	1	0.95	1	7.9138	0	7.6032	0	2354	0	2255	0	486.4	0
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	978.10	0	1.1150	0	34.7180	0	27.815	0	966.306	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	976.00	0	1.1160	0	34.7180	0	27.814	0	964.236	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	974.00	0	1.1190	0	34.7180	0	27.814	0	962.265	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	972.00	0	1.1200	0	34.7180	0	27.814	0	960.293	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	970.00	0	1.1200	0	34.7190	0	27.815	0	958.322	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905369	1	C	01/17/2018	03:18	57.419	-63.991	0	968.00	0	1.1240	0	34.7190	0	27.815	0	956.351	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
